iter	Passed	Remaining
0	21	4369
1	42	4188
2	68	4491
3	95	4655
4	127	4960
5	153	4957
6	182	5030
7	211	5074
8	242	5146
9	270	5147
10	302	5189
11	327	5133
12	353	5089
13	379	5046
14	412	5084
15	437	5034
16	463	4985
17	488	4935
18	514	4898
19	539	4852
20	556	4743
21	583	4718
22	610	4700
23	637	4673
24	663	4644
25	677	4532
26	703	4510
27	730	4489
28	756	4459
29	777	4405
30	804	4386
31	817	4293
32	843	4266
33	868	4240
34	893	4212
35	919	4188
36	944	4160
37	969	4133
38	996	4114
39	1022	4088
40	1039	4030
41	1064	4005
42	1091	3984
43	1112	3946
44	1139	3926
45	1167	3907
46	1185	3859
47	1207	3824
48	1234	3805
49	1261	3785
50	1292	3776
51	1320	3759
52	1335	3705
53	1363	3685
54	1388	3660
55	1415	3640
56	1442	3619
57	1469	3598
58	1494	3572
59	1521	3549
60	1548	3528
61	1580	3517
62	1611	3503
63	1621	3446
64	1654	3435
65	1703	3457
66	1736	3447
67	1767	3430
68	1793	3404
69	1806	3355
70	1832	3329
71	1858	3303
72	1883	3276
73	1911	3254
74	1937	3229
75	1978	3228
76	2015	3219
77	2042	3193
78	2071	3173
79	2100	3150
80	2157	3170
81	2184	3143
82	2197	3098
83	2232	3083
84	2246	3038
85	2276	3017
86	2301	2989
87	2327	2962
88	2354	2936
89	2380	2909
90	2408	2884
91	2434	2857
92	2460	2831
93	2489	2807
94	2525	2791
95	2555	2767
96	2582	2742
97	2609	2715
98	2636	2689
99	2663	2663
100	2689	2636
101	2716	2609
102	2741	2581
103	2768	2555
104	2793	2527
105	2821	2502
106	2834	2463
107	2859	2435
108	2883	2407
109	2907	2379
110	2932	2351
111	2958	2324
112	2985	2298
113	3010	2271
114	3037	2245
115	3065	2220
116	3094	2194
117	3121	2169
118	3148	2142
119	3174	2116
120	3201	2090
121	3230	2065
122	3260	2040
123	3288	2015
124	3315	1989
125	3342	1963
126	3369	1936
127	3390	1907
128	3422	1883
129	3448	1856
130	3474	1830
131	3500	1803
132	3527	1776
133	3536	1741
134	3561	1714
135	3574	1682
136	3601	1656
137	3611	1622
138	3635	1595
139	3659	1568
140	3683	1541
141	3707	1514
142	3733	1488
143	3756	1461
144	3781	1434
145	3805	1407
146	3830	1381
147	3854	1354
148	3879	1327
149	3903	1301
150	3927	1274
151	3952	1248
152	3990	1225
153	4033	1204
154	4068	1181
155	4098	1155
156	4126	1130
157	4151	1103
158	4178	1077
159	4204	1051
160	4231	1025
161	4245	995
162	4274	970
163	4288	941
164	4314	915
165	4340	888
166	4360	861
167	4385	835
168	4413	809
169	4438	783
170	4462	756
171	4488	730
172	4516	704
173	4541	678
174	4566	652
175	4591	626
176	4607	598
177	4632	572
178	4658	546
179	4683	520
180	4707	494
181	4731	467
182	4760	442
183	4785	416
184	4811	390
185	4835	363
186	4860	337
187	4885	311
188	4910	285
189	4935	259
190	4959	233
191	4985	207
192	5009	181
193	5034	155
194	5058	129
195	5083	103
196	5106	77
197	5131	51
198	5154	25
199	5181	0
